tanggal,menu,kategori,harga,terjual,pendapatan
2026-08-20,Teh Hangat,Minuman,3000,11.0,33000.0
2026-08-31,Nasi Goreng,Makanan,12000,29.0,348000.0
2026-08-21,Nasi Goreng,Makanan,12000,28.0,336000.0
2026-08-28,Teh Hangat,Minuman,3000,12.0,36000.0
2026-08-21,Es Jeruk,Minuman,5000,19.0,95000.0
2026-08-27,Es Jeruk,Minuman,5000,21.0,105000.0
2026-08-17,Roti Bakar,Makanan,8000,10.0,80000.0
2026-08-17,Es Teh,Minuman,4000,20.0,80000.0
2026-08-25,Kerupuk,Snack,2000,32.0,64000.0
2026-09-01,Nasi Goreng,Makanan,12000,20.0,240000.0
2026-08-21,Teh Hangat,Minuman,3000,13.0,39000.0
2026-08-24,Teh Hangat,Minuman,3000,10.0,30000.0
2026-08-17,Nasi Goreng,Makanan,12000,23.0,276000.0
2026-08-25,Teh Hangat,Minuman,3000,12.0,36000.0
2026-08-20,Mie Ayam,Makanan,10000,14.0,140000.0
2026-08-31,Es Jeruk,Minuman,5000,20.0,100000.0
2026-09-01,Es Teh,Minuman,4000,45.0,180000.0
2026-09-02,Es Jeruk,Minuman,5000,21.0,105000.0
2026-08-25,Es Jeruk,Minuman,5000,20.0,100000.0
2026-09-02,Roti Bakar,Makanan,8000,11.0,88000.0
2026-09-02,Tidak Diketahui,Makanan,12000,33.0,396000.0
2026-08-25,Roti Bakar,Makanan,8000,8.0,64000.0
2026-08-24,Es Jeruk,Minuman,5000,23.0,115000.0
2026-09-01,Mie Ayam,Makanan,10000,20.0,200000.0
2026-08-26,Mie Ayam,Makanan,10000,15.0,150000.0
2026-08-18,Roti Bakar,Makanan,8000,12.0,96000.0
2026-08-19,Es Teh,Minuman,4000,45.0,180000.0
2026-08-18,Teh Hangat,Minuman,3000,10.0,30000.0
2026-08-17,Mie Ayam,Makanan,10000,15.0,150000.0
2026-09-04,Roti Bakar,Makanan,8000,12.0,96000.0
2026-09-04,Teh Hangat,Minuman,3000,13.0,39000.0
2026-08-17,Kerupuk,Snack,2000,35.0,70000.0
2026-08-28,Nasi Goreng,Makanan,12000,27.0,324000.0
2026-08-20,Roti Bakar,Makanan,8000,11.0,88000.0
2026-08-31,Es Teh,Minuman,4000,38.0,152000.0
2026-08-28,Es Jeruk,Minuman,5000,19.0,95000.0
2026-09-03,Mie Ayam,Makanan,10000,17.0,170000.0
2026-08-31,Roti Bakar,Makanan,8000,10.0,80000.0
2026-08-24,Nasi Goreng,Makanan,12000,22.0,264000.0
2026-08-27,Es Teh,Minuman,4000,43.0,172000.0
2026-08-19,Es Jeruk,Minuman,5000,18.0,90000.0
2026-08-28,Roti Bakar,Makanan,8000,9.0,72000.0
2026-08-24,Roti Bakar,Makanan,8000,10.0,80000.0
2026-08-18,Mie Ayam,Makanan,10000,18.0,180000.0
2026-09-04,Kerupuk,Snack,2000,36.0,72000.0
2026-08-21,Roti Bakar,Makanan,8000,13.0,104000.0
2026-08-26,Es Jeruk,Minuman,5000,22.0,110000.0
2026-08-26,Nasi Goreng,Makanan,12000,31.0,372000.0
2026-09-03,Roti Bakar,Makanan,8000,10.0,80000.0
2026-09-03,Es Jeruk,Minuman,5000,20.0,100000.0
2026-09-02,Mie Ayam,Makanan,10000,19.0,190000.0
2026-08-21,Mie Ayam,Makanan,10000,16.0,160000.0
2026-09-03,Tidak Diketahui,Minuman,3000,11.0,33000.0
2026-08-20,Kerupuk,Snack,2000,34.0,68000.0
2026-08-31,Mie Ayam,Makanan,10000,16.0,160000.0
2026-08-27,Nasi Goreng,Makanan,12000,24.0,288000.0
2026-09-01,Kerupuk,Snack,2000,38.0,76000.0
2026-08-21,Es Teh,Minuman,4000,39.0,156000.0
2026-09-03,Nasi Goreng,Makanan,12000,25.0,300000.0
2026-08-19,Teh Hangat,Minuman,3000,20.0,60000.0
2026-08-28,Mie Ayam,Makanan,10000,18.0,180000.0
2026-08-20,Nasi Goreng,Makanan,12000,20.0,240000.0
2026-08-19,Mie Ayam,Makanan,10000,20.0,200000.0
2026-08-27,Roti Bakar,Makanan,8000,11.0,88000.0
2026-08-31,Teh Hangat,Minuman,3000,10.0,30000.0
2026-08-25,Nasi Goreng,Makanan,12000,26.0,312000.0
2026-08-24,Kerupuk,Snack,2000,20.0,40000.0
2026-08-18,Kerupuk,Snack,2000,33.0,66000.0
2026-08-28,Es Teh,Minuman,4000,42.0,168000.0
2026-08-24,Tidak Diketahui,Minuman,4000,41.0,164000.0
2026-08-27,Kerupuk,Snack,2000,34.0,68000.0
2026-08-18,Es Teh,Minuman,4000,38.0,152000.0
2026-08-27,Teh Hangat,Minuman,3000,13.0,39000.0
2026-08-18,Es Jeruk,Minuman,5000,22.0,110000.0
2026-08-31,Kerupuk,Snack,2000,35.0,70000.0
2026-09-01,Roti Bakar,Makanan,8000,13.0,104000.0
